

Date format: D M d Y @ g:i:s a,Type,Test Size,Score Mbps,Score MB/s,Username,Computer ID,ISP / Host,Extra Identifier,Test ID

Tue Nov 17 2020 @ 2:20:16 am,UP,35.4 MB,50.34,6.29,Mohanad Odema,15519503806496,university_of_califo,60-26---irvine-ca-us,d4J1_FhuB
Tue Nov 17 2020 @ 2:15:15 am,UP,23.4 MB,40.89,5.11,Mohanad Odema,15519503806496,university_of_califo,60-26---irvine-ca-us,9nxDBxxq2
Tue Nov 17 2020 @ 2:10:16 am,UP,34.9 MB,44.32,5.54,Mohanad Odema,15519503806496,university_of_califo,60-26---irvine-ca-us,XruxCK-dc
Tue Nov 17 2020 @ 2:05:17 am,UP,48.1 MB,45.22,5.65,Mohanad Odema,15519503806496,university_of_califo,60-26---irvine-ca-us,y~Pl74hq_
Tue Nov 17 2020 @ 2:00:14 am,UP,24.8 MB,39.34,4.92,Mohanad Odema,15519503806496,university_of_califo,60-26---irvine-ca-us,g2pYGeXDT
Tue Nov 17 2020 @ 1:55:14 am,UP,34.1 MB,46.95,5.87,Mohanad Odema,15519503806496,university_of_califo,60-26---irvine-ca-us,_8choDd2s
Tue Nov 17 2020 @ 1:50:16 am,UP,48.3 MB,43.99,5.5,Mohanad Odema,15519503806496,university_of_califo,60-26---irvine-ca-us,tyMZYzK95
Tue Nov 17 2020 @ 1:45:12 am,UP,22.8 MB,39.41,4.93,Mohanad Odema,15519503806496,university_of_califo,60-26---irvine-ca-us,QiQdwDzIE
Tue Nov 17 2020 @ 1:40:10 am,UP,21.8 MB,45.24,5.66,Mohanad Odema,15519503806496,university_of_califo,60-26---irvine-ca-us,RJ1gwSaUx
Tue Nov 17 2020 @ 1:35:13 am,UP,41.9 MB,44.68,5.59,Mohanad Odema,15519503806496,university_of_califo,60-26---irvine-ca-us,xvBFxQrio
Tue Nov 17 2020 @ 1:30:10 am,UP,24.6 MB,42.1,5.26,Mohanad Odema,15519503806496,university_of_califo,60-26---irvine-ca-us,KSnrOQP8k
Tue Nov 17 2020 @ 1:25:11 am,UP,32.3 MB,44.45,5.56,Mohanad Odema,15519503806496,university_of_califo,60-26---irvine-ca-us,zb-X-Ef4J
Tue Nov 17 2020 @ 1:20:13 am,UP,47.9 MB,44.19,5.52,Mohanad Odema,15519503806496,university_of_califo,60-26---irvine-ca-us,IIG1ZWK8A
Tue Nov 17 2020 @ 1:15:10 am,UP,43.9 MB,53.73,6.72,Mohanad Odema,15519503806496,university_of_califo,60-26---irvine-ca-us,9Kcq9LCWK
Tue Nov 17 2020 @ 1:10:08 am,UP,24.5 MB,47.24,5.9,Mohanad Odema,15519503806496,university_of_califo,60-26---irvine-ca-us,XByEKUjca
Tue Nov 17 2020 @ 1:05:10 am,UP,50.3 MB,53.61,6.7,Mohanad Odema,15519503806496,university_of_califo,60-26---irvine-ca-us,lI3lWjnNf
Tue Nov 17 2020 @ 1:00:07 am,UP,34.9 MB,53.81,6.73,Mohanad Odema,15519503806496,university_of_califo,60-26---irvine-ca-us,lqQVJ~r3L
Tue Nov 17 2020 @ 12:55:08 am,UP,46 MB,59.01,7.38,Mohanad Odema,15519503806496,university_of_califo,60-26---irvine-ca-us,LNU9JP7h~
Tue Nov 17 2020 @ 12:50:15 am,UP,71.1 MB,59.92,7.49,Mohanad Odema,15519503806496,university_of_califo,60-26---irvine-ca-us,Pm20CXHLi
Tue Nov 17 2020 @ 12:45:07 am,UP,35 MB,47.29,5.91,Mohanad Odema,15519503806496,university_of_califo,60-26---irvine-ca-us,OJJn6CmHG
Tue Nov 17 2020 @ 12:40:15 am,UP,33.8 MB,18.96,2.37,Mohanad Odema,15519503806496,university_of_califo,60-26---irvine-ca-us,jd7Ln9D2R
Tue Nov 17 2020 @ 12:35:04 am,UP,24 MB,41.82,5.23,Mohanad Odema,15519503806496,university_of_califo,60-26---irvine-ca-us,GahKQ_LZI
Tue Nov 17 2020 @ 12:30:04 am,UP,23.8 MB,46.14,5.77,Mohanad Odema,15519503806496,university_of_califo,60-26---irvine-ca-us,zG5Jdeftu
Tue Nov 17 2020 @ 12:25:12 am,UP,69.3 MB,61.71,7.71,Mohanad Odema,15519503806496,university_of_califo,60-26---irvine-ca-us,Bbud-A~P_
